Düzce,Gölyaka,20226,20179,20930
Düzce,Gümüşova,14685,15842,17205
Düzce,Kaynaşlı,20833,20454,20539
Düzce,Yığılca,16090,15008,14090
Düzce,Çilimli,17645,19976,19116
Edirne,Edirne Merkez,165979,185408,198428
Edirne,Enez,11203,10583,10529
Edirne,Havsa,19976,18648,17716
Edirne,Keşan,80486,83373,84791
Edirne,Lalapaşa,7077,6590,6065
Edirne,Meriç,14509,13681,12548
Edirne,Süloğlu,7823,7287,6068
Edirne,Uzunköprü,64312,61087,59457
Edirne,İpsala,28915,27246,25645
Elazığ,Alacakaya,6885,6151,5647
Elazığ,Arıcak,15306,14620,13161
Elazığ,Ağın,2819,2626,2579
Elazığ,Baskil,14466,13764,13443
Elazığ,Elazığ Merkez,412220,439687,458747
Elazığ,Karakoçan,28884,28142,28645
Elazığ,Keban,7031,7068,6629
Elazığ,Kovancılar,39790,39079,38605
Elazığ,Maden,12460,11275,10183
Elazığ,Palu,20035,19776,17856
Elazığ,Sivrice,8857,8910,8446
Erzincan,Erzincan Merkez,149879,161191,168093
Erzincan,Kemah,7760,6697,6850
Erzincan,Kemaliye,5238,5106,4774
Erzincan,Otlukbeli,2630,2333,2186
Erzincan,Refahiye,11660,11593,11609
Erzincan,Tercan,17771,16875,16351
Erzincan,Çayırlı,9602,8582,7977
Erzincan,Üzümlü,11376,13493,14265
Erzincan,İliç,7717,8877,9134
Erzurum,Aziziye,51605,63502,70032
Erzurum,Aşkale,24073,23152,20700
Erzurum,Horasan,41310,38837,35642
Erzurum,Hınıs,28607,26212,23707
Erzurum,Karayazı,30591,27762,23376
Erzurum,Karaçoban,24641,23322,20733
Erzurum,Köprüköy,17043,15784,13393
Erzurum,Narman,14632,13326,11536
Erzurum,Oltu,31424,30511,30374
Erzurum,Olur,7082,6469,6220
Erzurum,Palandöken,164146,172337,179286
Erzurum,Pasinler,30646,28691,26041
Erzurum,Pazaryolu,4601,3975,3786
Erzurum,Tekman,27775,25723,21682
Erzurum,Tortum,17394,18135,14787
Erzurum,Uzundere,8465,8153,7664
Erzurum,Yakutiye,183932,186993,191228
Erzurum,Çat,18505,16708,14641
Erzurum,İspir,16869,14959,14765
Erzurum,Şenkaya,19979,17511,15412
Eskişehir,Alpu,11822,10974,10072
Eskişehir,Beylikova,6083,6400,5723
Eskişehir,Günyüzü,6000,5671,5261
Eskişehir,Han,2040,2117,2164
Eskişehir,Mahmudiye,8221,7808,7524
Eskişehir,Mihalgazi,4412,3138,2934
Eskişehir,Mihalıççık,9302,8171,7959
Eskişehir,Odunpazarı,376650,422423,426581
Eskişehir,Sarıcakaya,5610,4854,4534
Eskişehir,Seyitgazi,14240,13009,12878
Eskişehir,Sivrihisar,21790,20330,20258
Eskişehir,Tepebaşı,323631,370150,394734
Eskişehir,Çifteler,15513,14878,14814
Eskişehir,İnönü,7006,6514,6194
Gaziantep,Araban,31835,32761,32832
Gaziantep,Karkamış,10438,9806,9512
Gaziantep,Nizip,136365,143994,151246
Gaziantep,Nurdağı,37719,40221,38701
Gaziantep,Oğuzeli,29526,31879,37027
Gaziantep,Yavuzeli,21333,22205,23329
Gaziantep,İslahiye,65869,67023,65208
Gaziantep,Şahinbey,845528,939497,946812
Gaziantep,Şehitkamil,710853,794931,888696
Giresun,Alucra,12948,10253,9025
Giresun,Bulancak,62644,67582,70683
Giresun,Dereli,20615,19731,20180
Giresun,Doğankent,6552,6613,6588
Giresun,Espiye,32710,35649,38840
Giresun,Eynesil,13280,13293,12678
Giresun,Giresun Merkez,126172,138858,144158
Giresun,Görele,31367,31862,31661
Giresun,Güce,8371,7992,8303
Giresun,Keşap,20180,19630,20186
Giresun,Piraziz,13292,14310,14162
Giresun,Tirebolu,30695,31854,32720
Giresun,Yağlıdere,16292,15793,14857
Giresun,Çamoluk,6542,8289,6258
Giresun,Çanakçı,6644,6232,6117
Giresun,Şebinkarahisar,21680,20459,19506
Gümüşhane,Gümüşhane Merkez,52628,56398,54341
Gümüşhane,Kelkit,42415,52608,38922
Gümüşhane,Köse,7971,8349,6727
Gümüşhane,Kürtün,12229,13376,12707
Gümüşhane,Torul,11495,12504,10762
Gümüşhane,Şiran,19615,21286,19158
Hakkâri,Derecik,,23377,25209
Hakkâri,Hakkâri Merkez,79335,78672,76630
Hakkâri,Yüksekova,117440,118915,121153
Hakkâri,Çukurca,16251,16141,15628
Hakkâri,Şemdinli,63261,43886,43571
Hatay,Altınözü,61341,60745,68500
Hatay,Antakya,354768,383354,299586
Hatay,Arsuz,81001,92749,109550
Hatay,Belen,30577,33313,35755
Hatay,Defne,137398,154820,140950
Hatay,Dörtyol,117053,125138,131528
Hatay,Erzin,41233,41463,42420
Hatay,Hassa,54146,56519,56541
Hatay,Kumlu,13345,13686,15155
Hatay,Kırıkhan,107994,116876,107103
Hatay,Payas,39857,42477,44073
Hatay,Reyhanlı,89980,100151,115566
Hatay,Samandağ,118373,122223,121660
Hatay,Yayladağı,27800,37000,41872
Hatay,İskenderun,244970,248380,231926
Isparta,Aksu,5130,4557,4148
Isparta,Atabey,5593,5761,6090
Isparta,Eğirdir,33064,31632,30053
Isparta,Gelendost,16133,15298,14235
Isparta,Gönen,7649,6883,6877
Isparta,Isparta Merkez,228730,264426,272797
Isparta,Keçiborlu,14329,14152,14129
